pendapatan_bulanan,usia,jumlah_tanggungan,skor_kredit_lama,cicilan_lancar,status_rumah,plafon_kredit,tenor_bulan,target_default
24081788,41,1,766,0,2,364000000,48,1
47081282,42,4,643,1,1,8000000,48,0
34642059,42,4,774,1,1,205000000,48,0
15648637,23,4,320,1,1,322000000,12,1
47738553,29,1,639,0,2,477000000,60,1
9397986,34,0,687,1,1,361000000,24,0
3271836,38,1,461,1,1,444000000,48,1
6366612,36,4,637,1,1,392000000,48,1
47556780,49,4,364,0,0,100000000,12,1
26717335,31,2,691,1,0,460000000,60,1
47891129,48,0,332,0,2,193000000,60,1
42070421,47,2,761,1,0,268000000,36,0
27335374,46,1,760,0,2,436000000,48,1
37428803,50,4,706,1,2,28000000,60,0
24970758,42,3,327,0,1,40000000,36,1
26477595,45,0,684,0,1,7000000,48,0
36957122,59,2,617,0,2,88000000,48,0
48968757,52,0,412,0,1,380000000,48,1
42280002,57,0,380,0,1,16000000,48,1
8674719,53,0,702,1,0,496000000,24,1
35986527,24,2,483,0,2,233000000,60,1
39634821,42,2,810,0,0,115000000,48,1
38703247,49,2,702,1,2,440000000,48,0
13700595,53,1,772,0,2,15000000,24,0
19037627,36,1,301,1,1,100000000,60,0
37795514,29,0,398,1,2,461000000,12,1
28834058,28,3,721,1,1,44000000,12,0
24739356,38,1,462,1,0,223000000,12,1
43882573,41,3,803,1,2,417000000,12,0
40856186,42,4,737,1,2,197000000,60,0
37972607,53,4,815,0,0,192000000,12,1
8130397,49,4,817,1,0,340000000,60,1
45058334,55,3,415,0,0,288000000,12,1
45632984,51,1,622,1,1,498000000,24,0
13192257,46,0,403,1,2,365000000,60,1
29658609,45,4,805,0,0,302000000,12,1
29451949,36,3,770,0,1,408000000,36,1
25725756,42,1,641,0,1,316000000,36,1
31425184,28,4,304,1,1,226000000,48,0
34530803,36,4,669,1,1,181000000,12,0
9319707,46,4,773,1,2,233000000,12,1
9095929,21,1,395,1,0,156000000,60,1
10474447,59,4,546,0,1,460000000,36,1
31766157,48,4,346,0,1,453000000,48,1
9597519,46,1,731,1,0,390000000,60,0
30810313,25,3,479,1,1,255000000,24,1
37907127,25,4,815,1,2,302000000,12,0
14726298,40,3,679,0,0,200000000,36,1
37045504,53,1,342,0,0,389000000,24,1
41134513,55,0,389,1,1,248000000,24,0
48932658,27,3,800,1,2,15000000,48,0
6369720,56,1,756,1,2,463000000,48,0
49333926,52,4,668,1,2,24000000,36,0
16217648,40,0,641,0,2,65000000,48,0
17573458,32,0,754,1,2,329000000,48,0
32365614,36,4,368,0,0,235000000,36,1
40342772,43,0,338,0,1,431000000,24,1
33773482,31,1,308,1,0,439000000,60,1
28884040,47,1,493,0,0,469000000,36,1
19164204,21,3,810,1,0,19000000,48,0
26088542,39,4,481,1,1,139000000,36,0
38433922,33,1,519,1,0,317000000,12,1
42360898,33,3,489,1,0,361000000,12,1
46368581,52,4,448,0,0,194000000,60,1
36978002,40,0,701,0,0,308000000,12,1
29582901,23,0,311,1,1,351000000,48,0
5667867,56,1,615,1,0,431000000,48,1
48791733,37,0,760,1,0,40000000,36,0
47620658,25,0,749,0,1,226000000,60,0
24496823,53,0,445,1,0,12000000,60,0
13155224,42,2,760,0,0,176000000,12,1
25966789,48,0,736,1,0,304000000,24,1
31818516,34,0,300,1,0,358000000,12,1
40594911,54,3,394,0,1,92000000,36,1
39213003,21,3,688,0,2,127000000,12,0
25064334,57,4,374,0,1,67000000,24,1
9953757,35,2,734,1,0,65000000,12,1
28416699,50,1,380,1,1,226000000,12,1
38409403,40,4,845,1,1,343000000,36,0
28827438,43,2,673,1,0,98000000,36,0
21727583,39,4,304,1,1,228000000,60,0
16630084,32,1,345,1,1,349000000,60,1
13889464,42,2,347,0,1,246000000,12,1
11083123,35,1,327,1,1,272000000,36,1
46914246,23,2,807,0,1,452000000,36,1
18540184,57,3,338,1,2,388000000,24,1
25419480,24,1,366,1,1,378000000,48,1
40435425,28,0,724,1,1,466000000,24,0
12192300,26,4,676,0,1,435000000,48,1
44930173,50,0,542,0,0,466000000,24,1
29337283,35,0,803,1,1,238000000,24,0
42138695,46,2,472,1,1,404000000,48,0
35686304,40,0,439,0,1,81000000,60,1
46548158,56,4,558,0,1,345000000,24,1
11791689,22,4,467,1,0,64000000,60,0
34443720,31,2,394,1,1,391000000,24,1
31151242,29,1,846,1,1,211000000,60,0
5155748,34,3,590,0,0,480000000,36,1
9941245,24,0,341,1,2,386000000,36,1
39640608,43,0,444,1,2,141000000,60,0
35311218,26,2,690,1,1,66000000,48,0
48946524,53,3,777,1,0,119000000,12,0
44108406,53,3,821,1,1,400000000,60,0
14606243,44,3,314,1,0,483000000,48,1
8525633,47,2,591,1,2,416000000,48,0
12451337,58,1,601,1,1,375000000,24,1
13673774,32,3,655,1,0,209000000,60,1
27144880,48,1,350,1,0,222000000,36,0
19591661,57,4,645,1,1,380000000,12,0
16799990,35,4,730,0,0,351000000,48,1
45827417,55,3,836,1,1,418000000,24,0
41410879,44,0,479,1,0,487000000,60,1
34199893,46,3,768,1,0,374000000,12,0
38966581,42,3,362,1,0,218000000,12,1
31746717,43,2,617,0,0,161000000,60,1
13055079,39,1,670,1,1,152000000,48,0
42648899,21,4,354,1,1,94000000,36,0
13669435,53,3,477,1,0,227000000,36,1
3076218,28,0,538,1,2,124000000,48,0
27444321,55,2,751,1,1,348000000,24,0
34712006,53,4,446,0,2,361000000,60,1
11790529,21,4,822,0,1,490000000,48,1
9193956,58,0,525,1,2,320000000,24,1
23886096,30,2,427,0,1,101000000,12,1
47599847,22,4,580,0,1,91000000,36,0
34251097,49,4,374,1,0,284000000,48,0
23080673,37,4,452,1,2,462000000,24,1
43345400,51,2,467,0,0,176000000,60,1
